HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.answerA,Answer.answerB,Answer.answerC,Answer.answerD,Answer.answerE,Answer.answerF,Answer.image.label,Answer.question,Approve,Reject
3P7QK0GJ3SKI98L6I8ERFV4LYIHZ2K,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Sun Sep 20 09:51:29 PDT 2020,3,BatchId:4191571;OriginalHitTemplateId:928390828;,2400,86400,Wed Sep 23 09:51:29 PDT 2020,,,3LUY3GC63ZZY3PE0RD2L98F1X54P71,AE2CDTF7VQXCE,Approved,Sun Sep 20 10:56:57 PDT 2020,Sun Sep 20 10:58:48 PDT 2020,Mon Sep 21 10:58:48 PDT 2020,Sun Sep 20 12:55:02 PDT 2020,,,111,100% (38/38),100% (38/38),100% (38/38),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-19-23_44_00.png,Chikungunya fever,Enteric fever,Hantavirus infection,Malaria,Meningococcal infection,,A,"A 32-year-old woman comes to the emergency department with sudden-onset unremitting fevers, chills, and joint pains for the past 2 days. She describes severe, ""unbearable"" pain in her right shoulder, left elbow, and left knee. She has not had any nausea, vomiting, or diarrhea. Three days ago, the patient returned from a 2-week honeymoon in the Dominican Republic. She spent time camping and swimming in the ocean. Her husband has no symptoms.
 
 The patient's temperature is 39 C (102.2 F), blood pressure is 114/64 mm Hg, pulse is 96/min, and respirations are 18/min. She has no skin rash. Her lungs are clear bilaterally and there are no heart murmurs. Her abdomen is soft and nontender. Joint examination shows swelling in the left elbow and left knee without localized effusions or tenderness. Laboratory results are as follows:
 
 Complete blood count
 Hemoglobin 12.6 g/dL
 Hematocrit 38%
 Platelets 180,000/mm3
 Leukocytes 3,400/mm3
 Serum chemistry
 Blood urea nitrogen 14 mg/dL
 Creatinine 0.9 mg/dL
 Liver function studies
 Total bilirubin 1.3 mg/dL
 Aspartate aminotransferase (SGOT) 32 U/L
 Alanine aminotransferase (SGPT) 44 U/L
 
 Which of the following is the most likely diagnosis?",,
3D4BBDG7ZGVUMX6FUU8ON78SVEQC34,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Sat Sep 19 08:05:30 PDT 2020,3,BatchId:4191076;OriginalHitTemplateId:928390828;,2400,86400,Tue Sep 22 08:05:30 PDT 2020,,,3DY46V3X3PHFNBIYJ5EADIWOFUH55F,A1ZZINLCZZYOH4,Approved,Sat Sep 19 08:06:37 PDT 2020,Sat Sep 19 08:22:49 PDT 2020,Sun Sep 20 08:22:49 PDT 2020,Sat Sep 19 16:40:58 PDT 2020,,,972,100% (9/9),100% (9/9),100% (9/9),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-18-23_39_24.png,Admit for echocardiography and serial cardiac enzymes,Admit for intravenous antihypertensive therapy,Admit for secondary hypertension workup,Discharge with outpatient follow-up arrangements,Order oral antihypertensive medication and observe,,E,"A 72-year-old man comes to the emergency department due to a laceration after a tree branch brushed against his face while he was working in his garden. He has mild pain and bleeding from the wound but no other symptoms. The patient works in his garden daily and sometimes even skips lunch. Medical history is significant for hypertension, but he takes no medications. The patient no chest pain, palpitations, or headaches.
 
 Blood pressure is 205/107 mm Hg and pulse is 78/min and regular. Heart and lung examination is unremarkable. There are no focal neurologic deficits.
 
 Laboratory values show serum potassium of 3.9 mEq/L and serum creatinine of 0.8 mg/dL. ECG show normal sinus rhythm with voltage criteria for left ventricular hypertrophy.
 
 The laceration is sutured and a tetanus vaccine is given. Repeat blood pressure is 208/109 mm Hg.",,
3IKMEYR0LVUNKDMKI7BHSGG8U9Y2KV,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Fri Sep 18 19:57:18 PDT 2020,5,BatchId:4190879;OriginalHitTemplateId:928390828;,2400,86400,Mon Sep 21 19:57:18 PDT 2020,,,3BDCF01OGXTRROV3MUZE54QEWOALYM,A2XI7O256DYI4G,Approved,Fri Sep 18 23:32:21 PDT 2020,Fri Sep 18 23:53:31 PDT 2020,Sat Sep 19 23:53:31 PDT 2020,Sat Sep 19 07:00:41 PDT 2020,,,1270,100% (18/18),100% (18/18),100% (11/11),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-17-19_25_25.png,Cardiac catheterization followed by observation in the coronary care unit,"Clopidogrel,heparin drip,morphine,and observatin in the coronary care unit","Esmolol drip,morphine,and observation in the coronary care unit","Nitroglycerin as needed,diltiazem,and observation on a telemetry floor","Nitroglycerine drip,morphine,and observation in the coronary care unit",,A,"A 34-year-old man is brought to the emergency department with central chest pain and nausea that started two hours ago.He looks anxious and admits to using cocaine before his chest pain started.He says that he uses cocaine once or twice per month,but has never had similar symptoms.He denies any past medical history and exercises regularly at a gym.He smokes cigarettes and drinks beer on the weekends.He has no family history of coronary artery disease or sudden death.
 
 On physical examination,he is mildly diaphoretic.His blood pressure is 165/85 mm Hg and pulse is 105/min.His oxygen saturation is 98% on room air.Lungs are clear to auscultation.There are no murmurs.Peripheral pulses are brisk and symmetric.
 
 ECG shows sinus tachycardia and a 2 mm ST segment elevation in leads II,III, and avF;a 1 mm ST segment depression is seen in lead I.Telemetry monitoring shows occasional premature ventricular beats.Portable chest X-ray is unremarkable.
 
 He is immediately treated with sublingual nitroglycerin,aspirin,and benzodiazepines.Shortly thereafter,he reports improvement of his symptoms and now rates his chest pain as 3/10,down from the initial 8/10.
 
 Which of the following is the best next step in managing this patient?",,
3XWUWJ18TKPA7L0YV5PP4MKYFRFUU2,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Fri Sep 18 19:57:19 PDT 2020,5,BatchId:4190879;OriginalHitTemplateId:928390828;,2400,86400,Mon Sep 21 19:57:19 PDT 2020,,,3WLEIWSYHOGZ47J62ODL48W20S2H2Q,A1TJPHC41OTJ1T,Approved,Fri Sep 18 22:37:14 PDT 2020,Fri Sep 18 22:43:36 PDT 2020,Sat Sep 19 22:43:36 PDT 2020,Sat Sep 19 07:08:01 PDT 2020,,,382,100% (27/27),100% (27/27),100% (20/20),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-17-19_35_30.png,Carvedilol (26%),Chlorthalidone (56%),Lisinopnl (3%),Losartan (1%),Nifedipine (11%),,B,"A 44-year-old obese man comes to the physician for hypertension follow-up. Systolic blood pressure readings during his prior visits ranged from 150-160 mm Hg and diastolic readings were 90-100 mm Hg. His past medical history is significant for right knee osteoarthritis. He has a strong family history of type 2 diabetes mellitus and stroke. The patient's blood pressure is 158/95 mm Hg and pulse is 78/min. His body mass index is 31,5 kg/m2. Physical examination shows central obesity but is otherwise unremarkable. Complete blood count, basic metabolic panel, and urinalysis show no significant abnormalities except for serum glucose of 110 mg/dL. Fasting lipid panel shows low-density lipoprotein of 110 mg/dL and triglycerides of 185 mg/dL. Use of which of the following medications is associated with the highest risk of developing diabetes mellitus in this patient?",,
3GONHBMNHUX8GCPZSQXBU4IJ4NSZM5,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Sat Sep 19 08:05:31 PDT 2020,3,BatchId:4191076;OriginalHitTemplateId:928390828;,2400,86400,Tue Sep 22 08:05:31 PDT 2020,,,36TFCYNS44905NM3QDYEUYQYD2IHXI,A2TOWOPTMZQLGL,Approved,Sat Sep 19 08:08:22 PDT 2020,Sat Sep 19 08:43:01 PDT 2020,Sun Sep 20 08:43:01 PDT 2020,Sat Sep 19 16:40:58 PDT 2020,,,2079,100% (1/1),100% (1/1),100% (1/1),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-18-23_40_15.png,"Continue aspirin, discountinue prasugrel(8%)",Continiu both antiplatelet mediciations(5%),"continue prasugrel, discountinue aspron(1%)",Hold both antiplatelet medications (1%),Postpone surgery(82%),,E,"A 60-year-old man comes to the office for presurgical evalution before right-sided total knee replacement. He has pain and limited mobility due to sevre knee osteorthrits, and has gained 4.5 kg(10lb) over the last 6 months due to decreased physical activity. Other medical problems include coronary artery disease, hypertension, and hyperlipidemia. Four months ago, the patient underwent sirolimuseluting stent implanation into the left anterior descending artesy due to angina. Current medications are low-dose aspin, prasurgrel, metoprolol, valsartan, and rosuvastatin.
 
 ECG shows sinus rhythm with no pathologic Q waves or ST-segment abnormalities. Echocardiogram shows normal left ventricular systolic function and no wall motion abnormalities.",,
3D42WVSDH7U25CNDAHRFL7P81SGFYR,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Sat Sep 19 22:35:58 PDT 2020,3,BatchId:4191390;OriginalHitTemplateId:928390828;,2400,86400,Tue Sep 22 22:35:58 PDT 2020,,,3QUO65DNQUNIG0EVPLIHU0OVVAZUOJ,ATLK237BEQCKI,Approved,Sun Sep 20 00:40:39 PDT 2020,Sun Sep 20 00:46:01 PDT 2020,Mon Sep 21 00:46:01 PDT 2020,Sun Sep 20 09:19:14 PDT 2020,,,322,100% (9/9),100% (9/9),100% (9/9),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-19-20_32_06.png,Hepatitis,Nontuberculous mycobacterial species,Staphylococcal species,Tetanus,Treponema pallidum,,C,"A patient consults the physician regarding her daughter's plans to get a tottoo. She wishes to be informed about the possible complications so that she can discuss the issue with her daughter. The mother asks for advice on how best to ensure that the procedure is done properly as to minimize complications.
 
 Which of the following infections is most commonly associated witht he tattoo process?",,
3UAU495MIHRFUGG1ZJDG5GS9X5YOUQ,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Sun Sep 20 09:51:29 PDT 2020,3,BatchId:4191571;OriginalHitTemplateId:928390828;,2400,86400,Wed Sep 23 09:51:29 PDT 2020,,,3EO896NRAWUPFC899302H8L7D3KJT2,A26BHQZCY7GRNP,Approved,Sun Sep 20 10:23:15 PDT 2020,Sun Sep 20 10:26:21 PDT 2020,Mon Sep 21 10:26:21 PDT 2020,Sun Sep 20 12:54:54 PDT 2020,,,186,100% (33/33),100% (33/33),100% (19/19),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-19-23_16_51.png,Acetaminophen,Corticosteroids,Doxycycline,Valacyclovir,Vancomycin,,A,"A 24-year-old man comes to the urgent care clinic with fevers and chills that developed when he awoke this morning. He also has diffuse body aches, most pronounced in his shoulders and knees. Two days ago, the patient was seen by his primary care provider due to a skin rash and was diagnosed with secondary syphilis. HIV testing was negative, and urine testing for gonorrhea and chlamydia was negative. He received a dose of intramuscular benzathine penicillin G yesterday afternoon.
 
 Currently, the patient's temperature is 39 C (102.2 F), blood pressure is 114/64 mm Hg, pulse is 72/min, and respirations are 18/min. He is uncomfortable but not acutely ill-appearing. Oropharynx examination does not show any abnormalities. His lungs are clear bilaterally. The patient's abdomen is soft and nontender throughout. He has scattered macular, erythematous regions on his abdomen, back, shoulders, and lower extremities, which he reports have progressed since his initial presentation 2 days ago.
 
 What is the most appropriate initial treatment for this patient?",,
3TC2K6WK9F13PCKJ9IEE2B7HZ9882M,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Sat Sep 19 22:35:58 PDT 2020,3,BatchId:4191390;OriginalHitTemplateId:928390828;,2400,86400,Tue Sep 22 22:35:58 PDT 2020,,,3F6KKYWMNB0EHD3X2BSF5BK2J0VNDJ,A2122A7BZNUWXO,Approved,Sat Sep 19 22:59:34 PDT 2020,Sat Sep 19 23:19:13 PDT 2020,Sun Sep 20 23:19:13 PDT 2020,Sun Sep 20 09:19:10 PDT 2020,,,1179,100% (1/1),100% (1/1),100% (1/1),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-19-20_25_21.png,Acetazolamide,Corticosteroids,Immediate antiretroviral therapy,Mannitol,Serial lumbar punctures,Other,E,"A 50-year-old man is brought to the emergency department due to fever, malaise, confusion, and worsening headache for the last 8 days. He has a history of advanced AIDS and is noncompliant with antiretroviral therapy. His most recent CD4 lymphocyte count a month ago was 29/mm3, His other medical problems include hypertension and chronic hepatitis C infection. 
 The patientâ€™s temperature is 38.8 C (101.8 F), blood pressure is 110/70 mm Hg, pulse is 94/min, and respirations are 16/min. He is disoriented to place and time and has a left-sided visual field deficit. The remainder of the examination is unremarkable. 
 CT scan of the head without contrast is normal. A lumbar puncture yields the following results:
 Opening pressure 490 mm H2O
 Glucose 47mg/dL
 Protein 51mg/dL
 Leukocytes 26/mm3
 Neutrophils 19%
 Lymphocytes 10%
 Monocytes 71%
 Red blood cells 0/mm3
 India Ink preparation of the cerebrospinal fluid shows encapsulated yeast. The patient is started on amphotericin B. 
 In addition to antifungal therapy, which of the following is the most effective strategy to improve this patient's outcome?",,
39TX062QX0NIPVHALQ4B1KT2WM83X7,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Mon Sep 07 17:38:33 PDT 2020,5,BatchId:4177193;OriginalHitTemplateId:928390828;,2400,86400,Thu Sep 10 17:38:33 PDT 2020,,,32ZKVD547FMEYCC36WHU17YW9CVB3D,A2M2EF4P41ADR8,Approved,Mon Sep 07 18:46:47 PDT 2020,Mon Sep 07 19:17:51 PDT 2020,Tue Sep 08 19:17:51 PDT 2020,Tue Sep 08 06:02:21 PDT 2020,,,1864,100% (1/1),100% (1/1),100% (1/1),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-07-17_01_30.png,Calcium gluconate,Digoxin-specific antibody,Insulin and dextrose,Intravenous amidarone,Intravenous glucagon,,B,"A 76-year-old women comes to the emergency department due to fatigue, nausea, and abdominal pain for the past 2 weeks. She feels weak and has not been eating much. She also has ""black spots"" in her vision when she watches television. Medical history includes hypertension, type 2 diabetes mellitus, persistent atrial fibrillation, myocardial infarction with coronary artery bypass grafting 10 years ago, and ischemic cardiomyopathy with an ejection fraction of 30%. The patient was hospitalized 6 months ago with an episode of decompensated heart failure but has had no recent illness. Medications include aspirin, furosemide, valsartan, carvedilol, atorvastatin, spironolactone, digoxin, warfarin, and insulin.
 
 Temperature is 36.7 C (98 F), blood pressure is 120/74 mm Hg, and pulse is 50/m. Mucous membranes are dry and the neck veins are flat. The lungs are clear to auscultation. Heart sounds are regular with a faint ejection systolic murmur present over the aortic area. The abdomen is soft with mild, diffuse tenderness over the epigastric area with deep palpation. Neurologic examination is unremarkable.
 
 Laboratory results are as follows:
 
 Serum chemistry 
 Sodium 136 mEq/L
 Potassium 6.4 mEq/L
 Chloride 102 mEq/L
 Bicarbonate 18 mEq/L
 Blood urea nitrogen 32 mg/dL
 Creatinine 2.2 mg/dL
 Calcium 9.4 mg/dL
 Glucose 160 mg/dL
 
 Liver function studies
 Total protein 6.5 mg/dL
 Albumin 4 mg/dL
 Total bilirubin. 1.3 mg/dL
 Alkaline phosphates 12 U/L
 Aspartate aminotransferase (SGOT) 37 U/L
 Alanine aminotransferase (SGPT) 24 U/L
 Amylase 91 U/L
 Lipase 32 U/L
 
 Coagulation studies
 INR 2.2
 
 Cardiology
 B-type natriuretic peptide 562 pg/mL
 Serum digoxin level 1.8 ng/mL (normal: <2)
 
 ECG shows a regular narrow-complex rhythm at 46/min, no P waves, and occasional ventricular premature beats. While in the emergency department, the patient also has an asymptomatic 9-beat run of nonsustained ventricular tachycardia that resolves spontaneously.
 
 Which of the following is the best treatment for this patient?",,
3NBFJK3IOGHWPYF6FEOZ11RION7OGU,3MOP54T9IO8VY0G61REA3GVW2JK0Y5,Copy text from an image,"Review the image, and separate and copy the text from the QnA stem into separate sections as described",text,0.08,Mon Sep 07 17:38:34 PDT 2020,5,BatchId:4177193;OriginalHitTemplateId:928390828;,2400,86400,Thu Sep 10 17:38:34 PDT 2020,,,3YDGXNSEOZTGEAX03Y23KA01F6C48Y,A2O0O60M000THJ,Approved,Mon Sep 07 19:59:47 PDT 2020,Mon Sep 07 20:15:34 PDT 2020,Tue Sep 08 20:15:34 PDT 2020,Tue Sep 08 06:02:24 PDT 2020,,,947,100% (1/1),100% (1/1),100% (1/1),https://storage.googleapis.com/ai-fom/screencapture-uworld-ClientApp-v9-apps-qbanktestinterface-index-html-2020-09-07-17_12_02.png,Adrenal cortisol-producing tumor,Bilateral renal artery stenosis,Coarctation of the aorta,Hashimoto thyroiditis,Intracrainial carotid artery stenosis,,B,"A 63-year-old woman is admitted to the hospital for sudden-onset shortness of breath and chest heaviness that began 2 hours ago. She had a similar episode of shortness of breath with hypertensive urgency 8 months ago. An echocardiogram at that time showed left ventricular hypertrophy, modest diastolic dysfunction, and an ejection fraction of 60%. Stress testing showed no evidence of ischemia. The patient's medical problems include a 5-year history of intermittent claudication, hypertension, hyperlipidemia, and type 2 diabetes mellitus. She is a former smoker with a 35-pack-year history. She works as an accountant and admits to feeling stressed at work.
 
 Blood pressure is 210/100 mm Hg, pulse is 110/min, and respirations are 20/min. BMI is 34 kg/m2. Pulses are equal in all 4 extremities. She appears dyspneic. Jugular venous pressure is normal. There are bibasilar lung crackles and a prolonged expiratory phase of respiration.
 
 ECG shows sinus tachycardia, left ventricular hypertrophy, and nonspecific T-wave abnormalities. Chest x-ray reveals pulmonary edema.The patient is treated with intravenous furosemide, antihypertensive agents, and noninvasive positive-pressure ventilation.
 
 Four hours later, her symptoms resolve and she appears comfortable. Blood pressure is 144/89 mm Hg pulse is 75/min.
 
 Laboratory results are as follows:
 Hemoglobin 12.1 g/dL
 Platelets 175,000/uL
 Potassium 3.7 mEq/L
 Creatinine 1.4 mg/dL
 Glucose 195 mg/dL
 
 Urinalysis show 1+ protein.
 This patient should be evaluated for which of the following conditions?",,
